symmetric,encoder_macs,decoder_macs,encoder_params,decoder_params,input_dim,latent_dim,ratio,hidden_layers,seed,mse_mean,mse_std,mse_p95,mae_mean,mae_std
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,0,2.1859012,15.153947,4.035605144500727,0.8316381,0.9356199
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,0,2.5956883,20.553455,4.632785511016844,0.8733149,1.0507461
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,1,3.3058956,32.294228,5.339881515502923,0.8533102,1.2878757
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,1,3.0471427,23.596836,5.318184185028075,0.9150111,1.17448
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,2,2.7440248,18.464174,5.079204320907592,0.8655397,1.1329278
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,2,3.0510798,29.565046,3.2069415330886826,0.8422363,1.2095536
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,3,3.1122308,29.912708,4.254237914085379,0.84683555,1.2459619
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,3,2.8176632,28.48422,2.9202208280563333,0.7713928,1.2072562
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,4,2.4632967,21.206606,3.842580294609059,0.7745175,1.0799074
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,4,2.6037073,19.696463,4.842033433914183,0.87970126,1.049547
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,5,3.4072442,32.165066,5.1146650314330895,0.94465166,1.2626563
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,5,2.851153,26.126682,4.915184211730955,0.8523099,1.1822946
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,6,4.3035946,36.74828,7.813027906417846,1.1349659,1.3354436
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,6,2.5265796,21.223326,4.136648893356321,0.8349047,1.045147
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,7,3.8395498,28.138313,8.710772132873522,1.0892668,1.2950144
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,7,2.6280682,25.66016,3.2542520284652703,0.78517663,1.1099715
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,8,3.1234317,34.587082,3.72487378120422,0.78835624,1.273139
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,8,3.6953459,28.130144,6.42273592948913,1.0645273,1.2269329
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,9,3.0766273,26.065987,4.49551739692688,0.86844933,1.2219825
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,9,2.5920503,22.920994,3.8777763366699203,0.81501484,1.1174599
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,0,2.3495395,20.752193,4.013813161849975,0.78742313,1.0149095
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,0,2.8362722,26.082958,4.0644798278808585,0.8007409,1.1958328
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,1,3.127155,31.851278,4.932336997985837,0.7984463,1.2768538
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,1,3.1211293,27.996456,4.698980188369747,0.8348214,1.2425474
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,2,2.3660321,22.453753,3.125437879562375,0.7400139,1.0677152
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,2,2.1373615,19.016905,2.954639053344725,0.721666,0.9795535
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,3,2.9282022,23.67826,5.136835384368896,0.94986117,1.1145077
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,3,3.2929964,31.357834,5.102597856521606,0.8823052,1.2339456
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,4,2.9693737,31.63995,3.6547800540924054,0.75163424,1.2425861
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,4,3.7216825,34.2166,5.350609254837033,0.94593906,1.3194016
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,5,1.5148509,9.349371,3.926298904418939,0.70652384,0.766953
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,5,1.6426529,9.298447,3.9215718984603836,0.7628122,0.74721146
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,6,2.4150405,24.03322,2.9591842889785758,0.71965265,1.0961537
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,6,2.7291968,23.009014,5.3441874980926505,0.858558,1.1225195
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,7,2.6968749,22.730234,4.67064566612243,0.82899743,1.1165977
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,7,2.0916939,14.124097,3.8631626844406126,0.8565709,0.8828562
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,8,2.8995204,29.107035,3.461728191375731,0.8078414,1.2169087
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,8,3.903961,35.02237,5.476985883712765,0.95739293,1.3836713
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,9,1.8589293,13.84383,3.559494829177853,0.7661123,0.88363975
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,9,1.5218722,10.608763,3.1514538288116443,0.7174967,0.7375263
True,13275,13275,13456,13531,100,25,3.5714285714285716,3,0,1.9746857,12.45414,3.714571118354797,0.7832605,0.8960843
False,6250,9820,6325,10023,100,25,3.5714285714285716,3,0,1.7335925,14.680811,2.5527353048324577,0.68924856,0.8619116
True,13275,13275,13456,13531,100,25,3.5714285714285716,3,1,2.0680242,14.691822,3.9366918563842743,0.81116486,0.91291475
False,6250,9820,6325,10023,100,25,3.5714285714285716,3,1,2.897572,22.845146,5.766025352478011,0.89364076,1.1214215
True,13275,13275,13456,13531,100,25,3.5714285714285716,3,2,1.8066049,10.960742,3.4045564413070655,0.7815074,0.8226968
False,6250,9820,6325,10023,100,25,3.5714285714285716,3,2,3.2520685,33.195507,4.776031208038327,0.83026665,1.2896771
True,13275,13275,13456,13531,100,25,3.5714285714285716,3,3,1.8985052,6.4508305,6.463072490692117,0.8995744,0.7533577
False,6250,9820,6325,10023,100,25,3.5714285714285716,3,3,2.3645236,18.914207,3.705181336402891,0.81179404,1.028726
True,13275,13275,13456,13531,100,25,3.5714285714285716,3,4,1.919941,11.689072,5.196828889846795,0.8351494,0.82739836
False,6250,9820,6325,10023,100,25,3.5714285714285716,3,4,3.0087876,24.617872,4.326629638671875,0.8833149,1.18963
True,13275,13275,13456,13531,100,25,3.5714285714285716,3,5,2.574819,22.663382,3.4831296682357764,0.8372107,1.0425282
False,6250,9820,6325,10023,100,25,3.5714285714285716,3,5,3.362196,34.056274,3.625618171691894,0.8483528,1.3024935
True,13275,13275,13456,13531,100,25,3.5714285714285716,3,6,1.8031077,8.920863,4.320300722122192,0.8243761,0.7806926
False,6250,9820,6325,10023,100,25,3.5714285714285716,3,6,1.6992491,14.737953,2.6228921890258783,0.665081,0.88641083
True,13275,13275,13456,13531,100,25,3.5714285714285716,3,7,2.0054295,11.324126,4.868629837036128,0.8460724,0.8570397
False,6250,9820,6325,10023,100,25,3.5714285714285716,3,7,1.8543549,15.17762,3.1845075845718345,0.7255685,0.906885
True,13275,13275,13456,13531,100,25,3.5714285714285716,3,8,2.001335,14.761194,3.988884449005127,0.7915361,0.9089522
False,6250,9820,6325,10023,100,25,3.5714285714285716,3,8,2.116306,19.719515,3.1121309041976897,0.7055128,0.9979807
True,13275,13275,13456,13531,100,25,3.5714285714285716,3,9,2.3017795,17.445267,4.887233400344844,0.8461098,0.97473
False,6250,9820,6325,10023,100,25,3.5714285714285716,3,9,2.8188772,24.960693,4.382464838027953,0.82223094,1.1619794
True,16717,16717,16952,17027,100,25,3.5714285714285716,4,0,1.5875046,8.227742,4.003627252578733,0.7805421,0.70269716
False,6250,13275,6325,13531,100,25,3.5714285714285716,4,0,2.8447201,25.606108,4.437692880630492,0.81947917,1.1712615
True,16717,16717,16952,17027,100,25,3.5714285714285716,4,1,1.900724,6.911656,5.354478645324705,0.9144558,0.7152967
False,6250,13275,6325,13531,100,25,3.5714285714285716,4,1,1.9667853,10.188742,4.447530555725095,0.82853985,0.8666778
True,16717,16717,16952,17027,100,25,3.5714285714285716,4,2,1.8463882,6.039957,5.902682733535763,0.89751685,0.7427984
False,6250,13275,6325,13531,100,25,3.5714285714285716,4,2,2.6585965,17.844933,5.9471236705780015,0.94792527,1.0000331
True,16717,16717,16952,17027,100,25,3.5714285714285716,4,3,1.8795146,5.890468,5.46292152404785,0.92512053,0.7275283
False,6250,13275,6325,13531,100,25,3.5714285714285716,4,3,1.751106,11.56493,3.798279976844781,0.7571313,0.7793278
True,16717,16717,16952,17027,100,25,3.5714285714285716,4,4,2.2000337,6.6097484,6.9460919380187915,0.94521105,0.8822052
False,6250,13275,6325,13531,100,25,3.5714285714285716,4,4,1.798551,11.693508,4.4054362773895175,0.7738782,0.8491549
True,16717,16717,16952,17027,100,25,3.5714285714285716,4,5,1.6130358,5.901849,5.230404663085929,0.8285416,0.68152565
False,6250,13275,6325,13531,100,25,3.5714285714285716,4,5,1.7611557,9.879833,4.142920136451718,0.76946175,0.82361376
True,16717,16717,16952,17027,100,25,3.5714285714285716,4,6,1.5039212,3.6100106,4.614436721801756,0.8376689,0.6224613
False,6250,13275,6325,13531,100,25,3.5714285714285716,4,6,1.9569577,18.934624,2.802463221549987,0.69686747,0.9366867
True,16717,16717,16952,17027,100,25,3.5714285714285716,4,7,1.4618908,3.4514225,4.384397888183588,0.82397884,0.6140641
False,6250,13275,6325,13531,100,25,3.5714285714285716,4,7,1.7049828,11.362241,3.6444514274597117,0.75780207,0.810976
True,16717,16717,16952,17027,100,25,3.5714285714285716,4,8,1.9338285,8.733452,4.855780744552611,0.91307575,0.76063603
False,6250,13275,6325,13531,100,25,3.5714285714285716,4,8,2.28527,21.855316,3.308023047447199,0.7396673,1.0507404
True,16717,16717,16952,17027,100,25,3.5714285714285716,4,9,1.7038771,5.108967,5.614378118515013,0.870365,0.7047765
False,6250,13275,6325,13531,100,25,3.5714285714285716,4,9,2.0632403,11.663141,4.3461755275726315,0.88139695,0.83886516
True,20042,20042,20330,20405,100,25,3.5714285714285716,5,0,1.8410767,2.9775863,6.276653575897209,0.96528345,0.6529395
False,9820,13275,9948,13531,100,25,3.5714285714285716,5,0,1.9342341,15.198387,3.820499062538145,0.73383564,0.9198527
True,20042,20042,20330,20405,100,25,3.5714285714285716,5,1,2.0688775,7.2191367,6.6485978603362925,0.95687693,0.7742444
False,9820,13275,9948,13531,100,25,3.5714285714285716,5,1,2.139092,20.083939,3.0252544641494725,0.7394155,1.0150045
True,20042,20042,20330,20405,100,25,3.5714285714285716,5,2,1.628917,4.7241254,5.117025327682487,0.84931517,0.67794234
False,9820,13275,9948,13531,100,25,3.5714285714285716,5,2,1.4950086,7.6553273,3.5975665330886804,0.77602226,0.68701017
True,20042,20042,20330,20405,100,25,3.5714285714285716,5,3,2.482342,5.1851554,9.285837173461898,1.0707994,0.8565914
False,9820,13275,9948,13531,100,25,3.5714285714285716,5,3,2.1554415,14.291943,4.596679115295405,0.83050466,0.9179003
True,20042,20042,20330,20405,100,25,3.5714285714285716,5,4,2.376871,5.089035,7.853545284271226,1.0881538,0.80229473
False,9820,13275,9948,13531,100,25,3.5714285714285716,5,4,1.9514234,11.667851,4.370152997970578,0.8262268,0.8475722
True,20042,20042,20330,20405,100,25,3.5714285714285716,5,5,2.3226035,7.611414,6.625965738296507,1.0138392,0.8114688
False,9820,13275,9948,13531,100,25,3.5714285714285716,5,5,1.9714228,13.766881,3.9332086563110344,0.78274363,0.9056941
True,20042,20042,20330,20405,100,25,3.5714285714285716,5,6,1.7950609,3.4118583,6.011250448226915,0.92963785,0.6468426
False,9820,13275,9948,13531,100,25,3.5714285714285716,5,6,1.5904543,10.086048,3.6946004152297935,0.7336256,0.7749599
True,20042,20042,20330,20405,100,25,3.5714285714285716,5,7,2.2858553,8.419955,6.487635803222652,1.0038373,0.8261864
False,9820,13275,9948,13531,100,25,3.5714285714285716,5,7,1.6294706,9.333914,4.029850316047662,0.75303054,0.7745139
True,20042,20042,20330,20405,100,25,3.5714285714285716,5,8,2.366851,5.4189897,7.178929233551023,1.0605006,0.7888182
False,9820,13275,9948,13531,100,25,3.5714285714285716,5,8,1.6773497,10.024111,3.619377756118774,0.78702587,0.778003
True,20042,20042,20330,20405,100,25,3.5714285714285716,5,9,1.8270572,5.7194767,5.487958574295037,0.9110916,0.69151634
False,9820,13275,9948,13531,100,25,3.5714285714285716,5,9,1.7623757,9.522642,4.066037607192992,0.77462226,0.81463337
